werkzeug - WARNING -  * Debugger is active!
werkzeug - INFO -  * Debugger PIN: 162-504-232
werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
wewerkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
werkzeug - INFO -  * Restarting with windowsapi reloader
hange in 'C:\\Users\\nikhil.s\\Python\\Python39\\Lib\\site-packages\\pkg_resources\\_vendor\\__pycache__\\six.cpython-39.pyc', reloading
werkzeug - INFO -  * Detected change in 'C:\\Users\\nikhil.s\\Python\\Python39\\Lib\\site-packages\\pkg_resources\\_vendor\\__pycache__\\appdirs.cpython-39.pyc', reloading
werkzeug - INFO -  * Detected change in 'C:\\Users\\nikhil.s\\Python\\Python39\\Lib\\site-packages\\win32com\\__pycache__\\__init__.cpython-39.pyc', reloading
werkzeug - INFO -  * Detected change in 'C:\\Users\\nikhil.s\\Python\\Python39\\Lib\\site-packages\\__pycache__\\pythoncom.cpython-39.pyc', reloading
werkzeug - INFO -  * Detected change in 'C:\\Users\\nikhil.s\\Python\\Python39\\Lib\\site-packages\\win32\\lib\\__pycache__\\pywintypes.cpython-39.pyc', reloading
werkzeug - INFO -  * Detected change in 'C:\\Users\\nikhil.s\\Python\\Python39\\Lib\\site-packages\\win32comext\\shell\\__pycache__\\__init__.cpython-39.pyc', reloading
